region,customer_lifetime_value,response,coverage,education,effective_to_date,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
west region,3945,no,basic,college,1/5/11,jan,medical leave,m,28855,suburban,married,101,12,59,0,1,personal auto,personal l2,offer3,call center,647,suv,medsize
north west,5176,no,basic,high school or below,2/7/11,feb,employed,m,41533,urban,married,65,2,46,0,9,corporate auto,corporate l2,offer3,agent,232,four-door car,medsize
central,4492,no,basic,bachelor,1/28/11,jan,medical leave,f,21137,suburban,single,61,29,62,1,6,personal auto,personal l1,offer2,web,292,four-door car,medsize
north west,8470,no,extended,bachelor,2/19/11,feb,unemployed,f,71268,suburban,single,82,1,13,0,2,personal auto,personal l2,offer2,web,479,four-door car,large
west region,2880,no,basic,college,1/5/11,jan,employed,f,81565,urban,married,71,19,54,0,1,personal auto,personal l2,offer2,branch,190,four-door car,medsize
central,6182,no,extended,high school or below,2/7/11,feb,medical leave,m,20072,suburban,married,82,35,51,0,9,corporate auto,corporate l3,offer1,agent,473,four-door car,medsize
central,9799,no,extended,college,1/3/11,jan,medical leave,m,22166,suburban,married,126,10,22,0,6,personal auto,personal l3,offer1,web,604,suv,medsize
central,5790,no,basic,master,2/3/11,feb,employed,m,84551,rural,divorced,72,10,82,0,5,personal auto,personal l3,offer2,agent,28,four-door car,large
central,5041,no,basic,college,1/19/11,jan,employed,m,61972,rural,married,64,2,52,2,5,personal auto,personal l1,offer4,call center,138,four-door car,medsize
central,5745,no,basic,bachelor,1/22/11,jan,employed,f,57740,urban,married,74,30,87,3,9,personal auto,personal l1,offer3,web,269,four-door car,medsize
central,4827,no,basic,college,1/17/11,jan,unemployed,f,82108,suburban,single,68,29,91,0,6,personal auto,personal l3,offer1,branch,326,four-door car,medsize
west region,7664,no,basic,college,1/23/11,jan,employed,m,60184,rural,divorced,199,7,44,1,1,personal auto,personal l3,offer2,web,161,luxury suv,medsize
west region,3593,no,extended,college,2/5/11,feb,disabled,f,18213,suburban,divorced,96,12,43,1,1,corporate auto,corporate l2,offer1,branch,460,four-door car,large
central,9863,no,extended,master,2/28/11,feb,employed,f,99654,rural,married,121,13,95,0,3,personal auto,personal l3,offer3,call center,272,suv,medsize
west region,5111,no,basic,high school or below,2/13/11,feb,employed,f,76448,suburban,married,63,9,13,0,3,personal auto,personal l3,offer3,web,302,four-door car,medsize
central,2590,no,basic,high school or below,1/3/11,jan,employed,m,22398,suburban,married,67,14,76,0,1,personal auto,personal l1,offer1,agent,321,four-door car,large
central,2452,no,basic,high school or below,1/25/11,jan,employed,f,51085,suburban,married,62,4,58,1,1,personal auto,personal l3,offer3,call center,406,two-door car,small
north west,2194,no,basic,college,1/2/11,jan,unemployed,m,73465,suburban,single,62,11,48,0,1,personal auto,personal l3,offer4,call center,623,four-door car,medsize
west region,4473,no,extended,high school or below,2/16/11,feb,unemployed,f,14895,suburban,divorced,125,2,84,0,1,personal auto,personal l1,offer1,branch,600,suv,medsize
central,19435,no,extended,high school or below,2/1/11,feb,employed,f,38688,suburban,single,249,22,6,0,3,special auto,special l3,offer1,agent,2294,luxury car,medsize
north west,2457,no,basic,high school or below,1/27/11,jan,employed,f,52926,suburban,married,61,2,92,0,1,personal auto,personal l3,offer1,call center,292,four-door car,medsize
north west,6870,no,premium,college,1/24/11,jan,unemployed,m,18356,suburban,single,105,5,87,0,3,personal auto,personal l3,offer1,branch,756,four-door car,small
north west,14019,yes,basic,college,2/18/11,feb,employed,m,31739,suburban,divorced,71,10,29,0,2,personal auto,personal l3,offer4,call center,469,two-door car,small
central,5575,no,basic,high school or below,1/26/11,jan,employed,m,91416,rural,married,69,6,39,0,5,personal auto,personal l3,offer2,call center,109,four-door car,medsize
north west,5651,no,basic,bachelor,1/19/11,jan,employed,m,44634,suburban,married,71,16,99,1,9,personal auto,personal l3,offer1,branch,396,four-door car,small
west region,4556,no,basic,bachelor,2/14/11,feb,medical leave,m,25617,suburban,divorced,63,22,3,0,3,personal auto,personal l3,offer2,call center,302,two-door car,medsize
west region,2108,no,basic,bachelor,1/2/11,jan,unemployed,m,84934,suburban,single,61,8,91,0,1,personal auto,personal l2,offer1,agent,351,two-door car,medsize
north west,3095,no,extended,college,1/12/11,jan,unemployed,f,92786,suburban,single,92,31,24,1,1,personal auto,personal l3,offer3,web,774,two-door car,small
central,5860,no,basic,bachelor,2/1/11,feb,employed,m,94527,rural,married,73,16,32,0,3,personal auto,personal l1,offer1,agent,41,four-door car,medsize
north west,2300,yes,basic,bachelor,1/15/11,jan,retired,m,25905,suburban,divorced,63,21,12,0,1,corporate auto,corporate l3,offer1,agent,302,four-door car,large
west region,4950,no,basic,high school or below,1/20/11,jan,employed,f,27400,suburban,married,63,14,78,1,9,personal auto,personal l1,offer3,agent,302,four-door car,medsize
east,7507,yes,basic,college,2/6/11,feb,employed,m,60920,urban,single,64,13,61,0,2,personal auto,personal l3,offer2,agent,231,two-door car,medsize
central,2224,no,basic,college,1/5/11,jan,unemployed,f,54388,suburban,single,64,20,4,0,1,corporate auto,corporate l2,offer2,branch,483,four-door car,medsize
north west,2867,yes,extended,bachelor,1/3/11,jan,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l3,offer2,call center,374,four-door car,medsize
north west,5427,no,basic,college,2/11/11,feb,medical leave,f,27677,suburban,married,72,10,82,1,3,personal auto,personal l3,offer2,agent,345,four-door car,medsize
central,12157,no,extended,high school or below,1/7/11,jan,employed,m,40432,suburban,married,77,21,66,0,2,personal auto,personal l3,offer3,agent,369,four-door car,medsize
west region,8152,no,extended,high school or below,1/21/11,jan,unemployed,m,96230,suburban,single,79,19,70,0,2,personal auto,personal l1,offer1,agent,568,four-door car,small
central,2191,no,basic,college,1/29/11,jan,unemployed,m,95647,suburban,single,61,9,16,1,1,special auto,special l2,offer1,agent,439,four-door car,medsize
north west,26346,no,extended,high school or below,1/20/11,jan,employed,m,48268,suburban,divorced,223,28,26,0,2,personal auto,personal l2,offer1,web,1605,luxury suv,medsize
north west,2364,no,basic,college,1/18/11,jan,employed,m,46264,urban,single,62,17,75,0,1,corporate auto,corporate l1,offer4,branch,199,four-door car,medsize
west region,2710,no,basic,doctor,1/11/11,jan,unemployed,m,92915,suburban,married,71,7,87,0,1,personal auto,personal l3,offer1,agent,340,four-door car,small
east,74228,no,extended,high school or below,1/26/11,jan,unemployed,m,88140,suburban,single,242,1,34,0,2,personal auto,personal l1,offer1,branch,1742,luxury car,medsize
west region,14687,no,extended,bachelor,2/23/11,feb,unemployed,m,49080,suburban,single,85,3,61,0,2,personal auto,personal l1,offer1,web,612,four-door car,small
central,9312,no,premium,high school or below,2/13/11,feb,employed,m,75986,rural,married,115,11,44,0,3,personal auto,personal l3,offer3,call center,89,four-door car,medsize
west region,7750,no,basic,college,2/23/11,feb,employed,f,22668,rural,single,67,5,34,1,2,personal auto,personal l2,offer3,branch,33,four-door car,medsize
east,2540,no,basic,master,2/28/11,feb,employed,m,42557,rural,single,65,4,35,0,1,personal auto,personal l3,offer4,agent,57,four-door car,large
central,2456,no,basic,high school or below,2/15/11,feb,unemployed,m,99801,suburban,single,73,15,59,0,1,personal auto,personal l3,offer4,branch,525,four-door car,small
north west,3755,no,extended,high school or below,1/4/11,jan,employed,f,56178,suburban,married,94,1,39,0,1,personal auto,personal l3,offer2,branch,451,four-door car,medsize
central,5181,no,basic,college,2/2/11,feb,unemployed,f,28522,suburban,married,70,9,64,1,7,personal auto,personal l1,offer1,branch,336,four-door car,large
north west,32474,no,basic,high school or below,1/22/11,jan,employed,m,71449,suburban,divorced,102,17,7,0,2,personal auto,personal l3,offer4,call center,734,suv,small
west region,8349,no,basic,bachelor,1/9/11,jan,employed,m,45428,urban,divorced,109,3,46,0,3,corporate auto,corporate l3,offer1,call center,487,suv,medsize
north west,8126,no,basic,college,2/22/11,feb,disabled,f,14616,suburban,married,107,2,73,0,3,personal auto,personal l3,offer1,agent,513,suv,medsize
central,13466,yes,basic,high school or below,2/23/11,feb,disabled,f,11432,suburban,married,119,17,9,0,2,corporate auto,corporate l3,offer2,agent,571,four-door car,medsize
central,5210,no,basic,bachelor,1/4/11,jan,employed,m,89781,rural,single,66,7,89,0,5,special auto,special l2,offer1,agent,37,four-door car,small
north west,6941,no,basic,college,2/11/11,feb,unemployed,f,11527,suburban,single,111,3,73,3,6,personal auto,personal l3,offer1,agent,532,suv,small
west region,7048,no,basic,college,2/19/11,feb,medical leave,m,24030,suburban,single,194,14,0,0,1,personal auto,personal l1,offer1,agent,970,luxury suv,medsize
central,26770,no,basic,college,1/23/11,jan,employed,f,26335,urban,married,113,32,7,1,2,personal auto,personal l2,offer1,call center,355,suv,large
central,9549,no,basic,high school or below,2/9/11,feb,employed,f,55986,urban,married,119,3,60,0,9,personal auto,personal l1,offer1,agent,388,suv,small
east,4331,no,basic,high school or below,2/11/11,feb,employed,f,82302,suburban,married,106,11,92,0,1,personal auto,personal l2,offer1,branch,722,suv,medsize
east,7294,no,basic,college,2/24/11,feb,unemployed,f,62548,suburban,single,113,12,66,2,7,personal auto,personal l3,offer1,call center,733,sports car,medsize
north west,3289,no,extended,college,1/29/11,jan,employed,m,40097,rural,single,92,23,35,4,1,personal auto,personal l2,offer1,call center,227,two-door car,medsize
north west,2505,no,basic,master,2/14/11,feb,employed,f,60546,rural,single,63,21,71,0,1,personal auto,personal l3,offer2,branch,46,suv,medsize
central,3417,no,extended,high school or below,1/25/11,jan,employed,f,72460,urban,married,85,9,76,0,1,personal auto,personal l2,offer2,call center,370,four-door car,medsize
west region,16320,no,extended,high school or below,2/27/11,feb,unemployed,f,96619,suburban,single,247,5,12,3,5,personal auto,personal l2,offer2,branch,1778,luxury car,medsize
west region,2838,no,extended,bachelor,2/7/11,feb,unemployed,f,15429,urban,divorced,80,30,8,0,1,personal auto,personal l1,offer1,web,336,four-door car,medsize
west region,4700,no,basic,college,2/18/11,feb,employed,f,76694,suburban,married,117,34,23,0,1,personal auto,personal l1,offer4,agent,561,suv,medsize
central,2471,yes,basic,high school or below,1/15/11,jan,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l2,offer2,agent,114,two-door car,medsize
central,10130,no,extended,doctor,1/17/11,jan,employed,f,59232,suburban,divorced,85,6,75,0,2,corporate auto,corporate l3,offer3,branch,408,two-door car,medsize
west region,3419,no,extended,high school or below,2/13/11,feb,employed,m,40272,rural,married,86,8,64,0,1,personal auto,personal l3,offer3,agent,23,two-door car,medsize
west region,23866,no,extended,high school or below,2/14/11,feb,unemployed,f,60739,suburban,married,81,27,93,1,2,personal auto,personal l2,offer3,branch,388,four-door car,medsize
central,8324,no,extended,high school or below,1/1/11,jan,unemployed,m,47547,suburban,single,121,5,92,0,5,corporate auto,corporate l3,offer2,branch,871,sports car,medsize
central,3179,no,extended,bachelor,1/21/11,jan,employed,f,65742,urban,married,79,6,0,0,1,personal auto,personal l3,offer2,call center,277,four-door car,medsize
north west,6672,no,extended,college,2/13/11,feb,employed,f,56830,urban,married,83,4,27,0,9,personal auto,personal l1,offer2,agent,319,two-door car,medsize
west region,16407,no,premium,bachelor,1/12/11,jan,employed,m,22103,rural,single,109,16,31,0,2,personal auto,personal l2,offer1,agent,160,four-door car,large
central,9371,no,basic,bachelor,2/1/11,feb,employed,f,66325,urban,married,117,10,10,0,5,corporate auto,corporate l2,offer1,agent,497,suv,medsize
central,4270,yes,extended,college,1/19/11,jan,unemployed,m,30183,suburban,married,122,27,2,0,1,personal auto,personal l3,offer2,agent,725,suv,medsize
west region,5799,no,basic,college,1/3/11,jan,employed,m,60689,rural,single,74,29,67,0,7,corporate auto,corporate l2,offer2,branch,5,four-door car,medsize
north west,5096,yes,basic,master,1/28/11,jan,disabled,f,22886,suburban,divorced,65,9,81,0,3,corporate auto,corporate l2,offer1,agent,312,four-door car,small
central,15563,no,premium,bachelor,1/19/11,jan,unemployed,f,31647,suburban,married,253,15,40,5,7,personal auto,personal l1,offer3,web,1214,luxury car,medsize
east,7475,no,basic,bachelor,1/26/11,jan,disabled,f,29633,urban,married,196,26,57,0,1,corporate auto,corporate l3,offer1,agent,534,luxury car,medsize
north west,9986,no,extended,high school or below,1/22/11,jan,disabled,m,24067,suburban,single,132,12,2,0,6,corporate auto,corporate l3,offer2,branch,633,sports car,medsize
west region,5568,no,extended,college,2/21/11,feb,employed,f,51489,rural,married,139,14,10,0,1,personal auto,personal l2,offer1,web,236,suv,medsize
east,20579,no,basic,bachelor,1/16/11,jan,unemployed,m,37604,suburban,single,69,5,26,0,2,personal auto,personal l3,offer3,call center,566,four-door car,medsize
north west,8276,no,extended,high school or below,2/18/11,feb,unemployed,m,11319,suburban,single,82,29,92,0,2,personal auto,personal l2,offer3,branch,590,four-door car,medsize
west region,4014,no,extended,master,2/17/11,feb,employed,f,54054,rural,married,99,7,55,0,1,personal auto,personal l2,offer2,branch,5,four-door car,medsize
central,12989,no,basic,bachelor,2/24/11,feb,unemployed,m,90593,suburban,single,65,16,3,0,2,personal auto,personal l3,offer1,web,312,four-door car,medsize
west region,15114,yes,basic,high school or below,1/19/11,jan,medical leave,f,28513,suburban,married,100,4,22,1,2,corporate auto,corporate l2,offer2,call center,480,suv,medsize
east,4709,no,basic,high school or below,2/12/11,feb,unemployed,f,45313,suburban,single,66,17,29,0,3,personal auto,personal l1,offer1,agent,470,four-door car,small
north west,2452,no,basic,college,2/14/11,feb,employed,m,79898,urban,married,62,5,86,1,1,corporate auto,corporate l1,offer4,agent,271,four-door car,medsize
west region,3919,yes,extended,high school or below,1/5/11,jan,employed,f,66676,suburban,married,97,0,40,0,1,personal auto,personal l1,offer3,agent,558,four-door car,small
west region,4716,no,basic,high school or below,2/25/11,feb,employed,m,25746,suburban,married,61,0,84,1,3,corporate auto,corporate l3,offer2,agent,292,four-door car,medsize
north west,12332,no,basic,college,2/28/11,feb,employed,m,85789,rural,married,105,18,54,2,2,personal auto,personal l1,offer1,agent,122,sports car,medsize
west region,35862,no,extended,high school or below,2/26/11,feb,medical leave,m,26376,suburban,divorced,121,7,19,0,2,personal auto,personal l3,offer1,agent,580,suv,small
north west,2398,no,basic,college,2/14/11,feb,disabled,m,14321,suburban,single,65,20,72,0,1,personal auto,personal l2,offer1,branch,423,four-door car,medsize
west region,6005,yes,extended,college,2/23/11,feb,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize
north west,6265,no,extended,doctor,1/13/11,jan,unemployed,f,87414,suburban,married,84,18,25,1,4,corporate auto,corporate l1,offer1,agent,481,four-door car,medsize
west region,8013,no,basic,bachelor,1/17/11,jan,employed,m,65636,suburban,married,67,15,72,0,2,personal auto,personal l2,offer2,call center,321,four-door car,medsize
east,4979,no,basic,high school or below,1/29/11,jan,unemployed,m,55041,suburban,single,71,17,57,0,5,personal auto,personal l1,offer2,agent,340,two-door car,medsize
central,4834,yes,basic,college,1/31/11,jan,employed,f,38713,suburban,divorced,66,31,69,4,6,corporate auto,corporate l3,offer2,call center,316,four-door car,medsize
central,3288,no,basic,college,1/16/11,jan,unemployed,m,15547,suburban,single,102,16,1,1,1,personal auto,personal l3,offer1,call center,734,suv,large
central,5525,no,basic,college,2/1/11,feb,employed,f,64816,suburban,married,69,30,33,0,7,corporate auto,corporate l2,offer3,agent,331,four-door car,small
east,9031,yes,extended,master,2/23/11,feb,unemployed,f,64383,suburban,single,122,15,47,0,9,corporate auto,corporate l2,offer1,branch,650,sports car,medsize
west region,4620,no,extended,college,2/26/11,feb,unemployed,f,93226,suburban,single,130,11,0,0,1,personal auto,personal l2,offer3,agent,936,suv,medsize
east,5552,no,basic,high school or below,2/27/11,feb,employed,m,50470,suburban,divorced,71,1,87,0,8,corporate auto,corporate l2,offer4,call center,377,two-door car,large
central,3842,no,premium,college,1/19/11,jan,disabled,m,27906,suburban,divorced,102,5,57,0,1,personal auto,personal l3,offer2,call center,489,four-door car,medsize
west region,5093,no,basic,bachelor,1/6/11,jan,employed,f,91814,urban,married,63,30,99,0,3,personal auto,personal l1,offer3,call center,167,two-door car,medsize
north west,16794,no,basic,high school or below,2/24/11,feb,employed,f,38399,urban,married,106,12,6,0,2,personal auto,personal l3,offer2,web,368,suv,medsize
north west,24278,no,extended,master,2/26/11,feb,retired,f,20983,urban,single,97,10,52,1,2,personal auto,personal l2,offer1,branch,451,four-door car,medsize
west region,7462,yes,extended,college,1/28/11,jan,employed,f,70263,rural,married,93,30,66,0,5,personal auto,personal l3,offer2,call center,7,two-door car,small
west region,3735,no,basic,bachelor,1/4/11,jan,unemployed,m,90003,suburban,single,110,3,16,0,1,personal auto,personal l3,offer1,agent,792,suv,medsize
north west,2891,no,basic,bachelor,2/2/11,feb,employed,f,80590,rural,married,71,4,19,0,1,corporate auto,corporate l3,offer4,branch,134,four-door car,small
east,11981,yes,basic,master,1/20/11,jan,retired,f,21514,urban,married,62,0,59,0,2,personal auto,personal l3,offer1,agent,257,two-door car,medsize
west region,2347,no,basic,college,2/2/11,feb,employed,m,31617,urban,single,62,17,29,1,1,personal auto,personal l1,offer1,agent,244,four-door car,small
north west,4282,yes,basic,college,2/26/11,feb,employed,f,40864,rural,married,109,16,70,1,1,personal auto,personal l3,offer1,agent,166,suv,medsize
central,5380,yes,basic,college,2/24/11,feb,employed,f,55350,suburban,married,67,0,13,0,9,personal auto,personal l3,offer1,agent,321,four-door car,medsize
north west,5828,no,basic,college,2/16/11,feb,employed,f,31364,suburban,married,74,28,47,0,3,personal auto,personal l3,offer2,web,461,four-door car,small
west region,5048,no,extended,high school or below,2/17/11,feb,employed,f,34452,suburban,married,126,2,51,0,1,personal auto,personal l1,offer4,agent,604,suv,large
north west,7737,no,basic,college,1/19/11,jan,employed,f,50296,rural,married,65,26,62,1,2,personal auto,personal l2,offer1,call center,46,two-door car,medsize
west region,7950,no,basic,high school or below,1/21/11,jan,employed,m,26189,suburban,single,69,6,42,0,2,personal auto,personal l2,offer3,agent,331,four-door car,small
west region,4111,no,premium,college,1/21/11,jan,employed,f,65085,urban,married,103,20,55,0,1,personal auto,personal l2,offer2,call center,480,four-door car,medsize
east,8007,yes,basic,high school or below,1/2/11,jan,unemployed,f,65605,suburban,divorced,112,12,93,0,3,personal auto,personal l3,offer1,web,537,sports car,medsize
central,4873,no,extended,high school or below,1/5/11,jan,retired,f,18866,suburban,married,126,4,62,0,1,personal auto,personal l2,offer3,call center,604,suv,medsize
north west,2252,no,basic,college,1/29/11,jan,unemployed,f,67682,suburban,single,65,13,84,0,1,personal auto,personal l3,offer3,web,468,two-door car,medsize
north west,4957,no,basic,college,1/15/11,jan,employed,f,62803,suburban,married,62,16,12,0,5,personal auto,personal l3,offer2,web,400,two-door car,small
north west,2655,no,basic,high school or below,1/4/11,jan,employed,f,83460,suburban,divorced,66,20,18,0,1,corporate auto,corporate l2,offer2,call center,443,four-door car,medsize
east,5898,no,extended,bachelor,2/17/11,feb,employed,f,53998,suburban,divorced,78,5,38,5,8,personal auto,personal l3,offer1,call center,414,four-door car,medsize
west region,17723,no,extended,college,2/18/11,feb,employed,f,25771,suburban,married,222,21,58,0,4,personal auto,personal l1,offer1,branch,1253,luxury suv,medsize
west region,5108,no,basic,college,1/9/11,jan,disabled,m,26784,suburban,married,67,14,82,0,8,corporate auto,corporate l3,offer3,branch,482,two-door car,medsize
west region,4517,no,basic,bachelor,2/9/11,feb,medical leave,f,25261,suburban,married,118,31,9,0,1,personal auto,personal l3,offer4,branch,566,suv,medsize
central,5310,no,basic,college,2/2/11,feb,unemployed,f,41495,suburban,married,72,17,11,1,3,personal auto,personal l1,offer1,branch,345,four-door car,small
central,2773,no,basic,high school or below,1/26/11,jan,employed,f,73478,urban,married,68,2,38,0,1,personal auto,personal l2,offer2,call center,241,four-door car,medsize
central,5504,yes,basic,bachelor,2/8/11,feb,unemployed,f,36975,suburban,married,73,18,45,0,5,corporate auto,corporate l3,offer1,call center,350,four-door car,medsize
central,6960,no,extended,college,2/4/11,feb,employed,m,74487,rural,divorced,88,8,86,0,3,personal auto,personal l1,offer1,call center,16,four-door car,medsize
east,5010,no,basic,bachelor,1/19/11,jan,employed,f,64014,urban,single,63,15,27,1,7,corporate auto,corporate l3,offer1,agent,295,four-door car,large
north west,8488,no,basic,high school or below,1/4/11,jan,employed,f,80213,suburban,married,70,12,17,0,2,personal auto,personal l3,offer1,branch,440,two-door car,medsize
east,2471,yes,basic,high school or below,1/15/11,jan,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l3,offer2,agent,114,two-door car,medsize
north west,5876,no,basic,college,2/9/11,feb,employed,f,32848,urban,married,74,5,59,0,5,personal auto,personal l2,offer3,call center,250,four-door car,medsize
west region,12313,no,premium,college,1/17/11,jan,unemployed,m,26083,suburban,single,116,7,57,0,2,personal auto,personal l1,offer1,call center,835,two-door car,medsize
north west,3982,no,extended,doctor,1/3/11,jan,employed,f,38500,urban,married,99,26,49,1,1,corporate auto,corporate l2,offer1,agent,423,four-door car,large
west region,8237,no,basic,bachelor,1/17/11,jan,medical leave,f,23940,suburban,married,107,13,34,0,7,personal auto,personal l3,offer1,call center,513,suv,small
west region,12487,no,premium,high school or below,1/11/11,jan,employed,f,31283,suburban,married,104,30,3,0,2,personal auto,personal l3,offer1,agent,499,four-door car,medsize
north west,5366,no,basic,doctor,2/22/11,feb,unemployed,f,88396,urban,married,70,5,29,0,4,personal auto,personal l2,offer1,agent,223,four-door car,large
central,2517,no,basic,college,2/26/11,feb,unemployed,f,85283,rural,married,69,30,71,0,1,personal auto,personal l3,offer2,call center,42,four-door car,medsize
west region,5583,no,basic,high school or below,2/22/11,feb,employed,f,57925,urban,single,72,33,13,1,3,corporate auto,corporate l2,offer1,agent,204,two-door car,medsize
west region,7356,no,extended,high school or below,1/9/11,jan,employed,m,81145,urban,married,92,34,92,0,8,corporate auto,corporate l2,offer2,call center,321,two-door car,large
